Issuer,Sovereignity Type,Sector,TRBC Sector,Region,Income Group,Development Status,Country,ISO3,Generalised Bond Type,Specified Green Bond Type,Year,Issuance Currency,Issued Amount (USD),Coupon Class,Coupon,Average Int. Rate of Govt. Debt (Private),FED Rate,ESG Score, Environmental Score 
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,48161603,Floating Coupon,3.1,,5.1,,
ECOFACTORY SRL,Non-Sovereign,Private Institution,Textiles & Leather Goods (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Argentinian Peso,444550,Floating Coupon,42.5,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,130724351,Floating Coupon,3.1,,5.1,,
SUQIAN CULTURAL TOURISM DEVELOPMENT GROUP CO LTD,Non-Sovereign,Private Institution,Travel Agents,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,71348207,Fixed Coupon,2.4,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,48161603,Floating Coupon,3.1,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,68802290,Discount/Zero Coupon,0.0,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,385292823,Discount/Zero Coupon,0.0,,5.1,,
XINJIANG WATER CONSERVANCY DEVELOPMENT INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Investment Management,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.0,,5.1,,
ACUON CAPITAL CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,6880229,Fixed Coupon,5.6,,5.1,,
SHANDONG NUCLEAR POWER CO LTD,Non-Sovereign,Private Institution,Nuclear Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,96045663,Fixed Coupon,1.8,,5.1,,
PELABURAN HARTANAH BHD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Sustainability Bond,,2024,Malaysian Ringgit,22537751,Fixed Coupon,3.5,,5.1,,
PEGADAIAN PT,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Social Bond,,2024,Indonesian Rupiah,86841426,Fixed Coupon,6.7,,5.1,,
MUYUAN FOODS CO LTD,Non-Sovereign,Private Institution,Hog & Pig Farming,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.1,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,89442977,Fixed Coupon,3.6,,5.1,,
TONGWEI CO LTD,Non-Sovereign,Private Institution,Photovoltaic Solar Systems & Equipment,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.4,,5.1,,
KOREA DEVELOPMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,South Korean Won,206406869,Discount/Zero Coupon,0.0,,5.1,,
KOOKMIN BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,South Korean Won,82562748,Fixed Coupon,3.2,,5.1,,
ACUON CAPITAL CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,6880229,Fixed Coupon,5.6,,5.1,,
KOREA DEVELOPMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,South Korean Won,137604579,Discount/Zero Coupon,0.0,,5.1,,
KOREA SMES AND STARTUPS AGENCY,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2024,South Korean Won,41281374,Floating Coupon,3.1,,5.1,,
SEP RESOURCES (M) SDN BHD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,Malaysian Ringgit,3380663,Fixed Coupon,4.5,,5.1,,
IGIS RESIDENCE REIT CO LTD,Non-Sovereign,Private Institution,Commercial REITs (NEC),,,,,,Social Bond,,2024,South Korean Won,3440114,Fixed Coupon,6.5,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,172005724,Fixed Coupon,3.5,,5.1,,
KOREA DEVELOPMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,South Korean Won,240808014,Discount/Zero Coupon,0.0,,5.1,,
BUSAN BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,South Korean Won,68802290,Fixed Coupon,3.2,,5.1,,
KOREA DEVELOPMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,South Korean Won,103203435,Discount/Zero Coupon,0.0,,5.1,,
EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Hong Kong Dollar,38507945,Fixed Coupon,3.0,,5.1,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Green Bond,CBI Aligned Green bond,2024,Hong Kong Dollar,25671964,Fixed Coupon,3.1,,5.1,,
JINGDEZHEN HESHENG INDUSTRIAL INVESTMENT DEVELOPMENT CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,Chinese Yuan,27441618,Fixed Coupon,6.8,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,123844122,Floating Coupon,3.1,,5.1,,
SEOUL HOUSING AND COMMUNITIES CORP,Non-Sovereign,Private Institution,Homebuilding (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,68802290,Fixed Coupon,3.3,,5.1,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2024,South Korean Won,27520916,Fixed Coupon,3.5,,5.1,,
SAMAIDEN GROUP BHD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Malaysian Ringgit,676133,Fixed Coupon,4.4,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,172005724,Fixed Coupon,3.6,,5.1,,
WALLENSTAM AB,Non-Sovereign,Private Institution,Residential Real Estate Rental & Development,,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,36564408,Floating Coupon,3.8,,5.1,,
IM BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,68802290,Fixed Coupon,3.2,,5.1,,
ING BANK NV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,10327000,Fixed Coupon,2.0,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,123844122,Floating Coupon,3.1,,5.1,,
WOORI BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,116963893,Discount/Zero Coupon,0.0,,5.1,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2024,South Korean Won,13760458,Fixed Coupon,3.5,,5.1,,
SEOUL HOUSING AND COMMUNITIES CORP,Non-Sovereign,Private Institution,Homebuilding (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,13760458,Fixed Coupon,3.1,,5.1,,
ING BANK NV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,1032700,Fixed Coupon,1.8,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,96323206,Fixed Coupon,3.4,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,103270000,Fixed Coupon,5.3,,5.1,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Green Bond,CBI Aligned Green bond,2024,Nigerian Naira,21384514,Fixed Coupon,17.5,,5.1,,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,722890000,Floating Coupon,4.1,,5.1,,
WOORI CARD CO LTD,Non-Sovereign,Private Institution,Consumer Credit Cards Services,,,,,,Social Bond,,2024,South Korean Won,41281374,Fixed Coupon,3.4,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,48161603,Fixed Coupon,3.6,,5.1,,
TAIPEI CITY,Non-Sovereign,Government,Government & Government Finance (NEC),,,,,,Social Bond,,2024,Taiwanese Dollar,18274854,Fixed Coupon,1.2,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,96269864,Fixed Coupon,3.8,,5.1,,
KAOHSIUNG  CITY OF,Non-Sovereign,Government,Government & Government Finance (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Taiwanese Dollar,60916179,Fixed Coupon,1.3,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,64179909,Fixed Coupon,3.8,,5.1,,
WOORI CARD CO LTD,Non-Sovereign,Private Institution,Consumer Credit Cards Services,,,,,,Social Bond,,2024,South Korean Won,6880229,Fixed Coupon,3.7,,5.1,,
HANWHA ENERGY CORP,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,65362175,Fixed Coupon,4.5,,5.1,,
CNNC FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Commercial Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.9,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Georgian Lari,24354780,Fixed Coupon,8.5,,5.1,,
DAESANG CORP,Non-Sovereign,Private Institution,Food Processing (NEC),,,,,,Social Bond,,2024,South Korean Won,13760458,Fixed Coupon,3.8,,5.1,,
BDO UNIBANK INC,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Philippine Peso,958526932,Fixed Coupon,6.3,,5.1,,
TOYOTA LEASING THAILAND CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2024,Thai Baht,29524653,Fixed Coupon,2.7,,5.1,,
JB WOORI CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,20640687,Fixed Coupon,3.4,,5.1,,
ANSAN URBAN CO,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Social Bond,,2024,South Korean Won,27520916,Fixed Coupon,3.9,,5.1,,
SPARBANKEN ALINGSAS AB,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,45705510,Floating Coupon,3.7,,5.1,,
PLATZER FASTIGHETER HOLDING AB (PUBL),Non-Sovereign,Private Institution,Office Real Estate Rental & Development,,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,31993857,Floating Coupon,5.2,,5.1,,
WOORI CARD CO LTD,Non-Sovereign,Private Institution,Consumer Credit Cards Services,,,,,,Social Bond,,2024,South Korean Won,6880229,Fixed Coupon,3.4,,5.1,,
HONG KONG SPECIAL ADMINISTRATIVE REGION GOVERNMENT,Sovereign,Government,Government Administration Activities,East Asia & Pacific,High income,Developing,Hong Kong Special Administrative Region,HKG,Green Bond,CBI Aligned Green bond,2024,Hong Kong Dollar,256719636,Fixed Coupon,3.8,,5.1,,
HONG KONG SPECIAL ADMINISTRATIVE REGION GOVERNMENT,Sovereign,Government,Government Administration Activities,East Asia & Pacific,High income,Developing,Hong Kong Special Administrative Region,HKG,Green Bond,CBI Aligned Green bond,2024,US Dollar,200000000,Fixed Coupon,4.6,,5.1,,
HONG KONG SPECIAL ADMINISTRATIVE REGION GOVERNMENT,Sovereign,Government,Government Administration Activities,East Asia & Pacific,High income,Developing,Hong Kong Special Administrative Region,HKG,Green Bond,CBI Aligned Green bond,2024,Euro,82616000,Fixed Coupon,3.5,,5.1,,
HONG KONG SPECIAL ADMINISTRATIVE REGION GOVERNMENT,Sovereign,Government,Government Administration Activities,East Asia & Pacific,High income,Developing,Hong Kong Special Administrative Region,HKG,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,205812135,Fixed Coupon,2.9,,5.1,,
BANK OF THE PHILIPPINE ISLANDS,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Sustainability Bond,,2024,Philippine Peso,579934607,Fixed Coupon,6.2,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,68802290,Fixed Coupon,3.2,,5.1,,
SWEDISH EXPORT CREDIT CORP,Non-Sovereign,Private Institution,Commercial Loans,,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,45705510,Floating Coupon,3.0,,5.1,,
KOREA STUDENT AID FOUNDATION,Non-Sovereign,Non-governmental Organization,Charity Organizations,,,,,,Social Bond,,2024,South Korean Won,41281374,Fixed Coupon,3.5,,5.1,,
SWEDISH EXPORT CREDIT CORP,Non-Sovereign,Private Institution,Commercial Loans,,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,45705510,Fixed Coupon,3.3,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,89442977,Fixed Coupon,3.6,,5.1,,
WILLHEM AB (PUBL),Non-Sovereign,Private Institution,Real Estate Services (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,27423306,Floating Coupon,3.2,,5.1,,
LG ENERGY SOLUTION LTD,Non-Sovereign,Private Institution,Batteries & Uninterruptable Power Supplies,,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,123844122,Fixed Coupon,3.8,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,25671964,Fixed Coupon,3.8,,5.1,,
STANDARD CHARTERED BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,770159,Fixed Coupon,4.2,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,275209159,Fixed Coupon,3.3,,5.1,,
SPARBANKEN SKARABORG PUBL AB,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,45705510,Floating Coupon,3.9,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,116963893,Fixed Coupon,3.3,,5.1,,
INDEPENDENT ADMINISTRATIVE INSTITUTION JAPAN STUDENT SERVICES ORGANIZATION,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Social Bond,,2024,Japanese Yen,198150594,Fixed Coupon,0.1,,5.1,,
SVENSK FASTIGHETSFINANSIERING AB (PUBL),Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,37844162,Floating Coupon,4.0,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,68802290,Fixed Coupon,3.6,,5.1,,
SUNWAY SOUTH QUAY SDN BHD,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Malaysian Ringgit,22537751,Floating Coupon,0.0,,5.1,,
SUNWAY SOUTH QUAY SDN BHD,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Sustainability Bond,,2024,Malaysian Ringgit,22537751,Floating Coupon,0.0,,5.1,,
WOORI CARD CO LTD,Non-Sovereign,Private Institution,Consumer Credit Cards Services,,,,,,Social Bond,,2024,South Korean Won,20640687,Fixed Coupon,3.8,,5.1,,
RED SURCOS SA,Non-Sovereign,Private Institution,Pesticides,,,,,,Sustainability Bond,,2024,US Dollar,3606129,Fixed Coupon,7.0,,5.1,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2024,South Korean Won,82562748,Fixed Coupon,3.8,,5.1,,
KOREA ASSET MANAGEMENT CORP,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2024,South Korean Won,110083664,Fixed Coupon,3.6,,5.1,,
WOORI CARD CO LTD,Non-Sovereign,Private Institution,Consumer Credit Cards Services,,,,,,Social Bond,,2024,South Korean Won,55041832,Fixed Coupon,3.8,,5.1,,
WUXI CAITONG FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Consumer Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,13720809,Fixed Coupon,2.7,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,344011449,Fixed Coupon,3.3,,5.1,,
BERLIN HYP AG,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,1032700000,Floating Coupon,3.1,,5.1,,
SK ON CO LTD,Non-Sovereign,Private Institution,Automotive Batteries,,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,96323206,Fixed Coupon,4.6,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,96323206,Fixed Coupon,3.6,,5.1,,
GENNEIA SA,Non-Sovereign,Private Institution,Renewable IPPs,,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,12502792,Fixed Coupon,5.0,,5.1,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2024,South Korean Won,27520916,Fixed Coupon,3.5,,5.1,,
SVENSK FASTIGHETSFINANSIERING AB (PUBL),Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,36564408,Floating Coupon,3.9,,5.1,,
CHINA MINSHENG BANKING CORP LTD (HONG KONG BRANCH),Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,411624269,Fixed Coupon,3.1,,5.1,,
ACCIONA FINANCIACION FILIALES SAU,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,20654000,Floating Coupon,4.2,,5.1,,
INTESA SANPAOLO SPA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Japanese Yen,231175694,Fixed Coupon,1.3,,5.1,,
STANDARD CHARTERED BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,1000000,Fixed Coupon,5.2,,5.1,,
SWEDISH EXPORT CREDIT CORP,Non-Sovereign,Private Institution,Commercial Loans,,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,13711653,Fixed Coupon,3.4,,5.1,,
SWEDISH EXPORT CREDIT CORP,Non-Sovereign,Private Institution,Commercial Loans,,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,45705510,Fixed Coupon,3.4,,5.1,,
SWEDISH EXPORT CREDIT CORP,Non-Sovereign,Private Institution,Commercial Loans,,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,73128816,Fixed Coupon,3.4,,5.1,,
EAST NIPPON EXPRESSWAY CO LTD,Non-Sovereign,Private Institution,Highway Operators,,,,,,Social Bond,,2024,Japanese Yen,429326288,Fixed Coupon,0.3,,5.1,,
WALLENSTAM AB,Non-Sovereign,Private Institution,Residential Real Estate Rental & Development,,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,27423306,Floating Coupon,3.8,,5.1,,
VERTEX CAPITAL INVESTMENT LTD,Non-Sovereign,Private Institution,Investment Management & Fund Operators (NEC),,,,,,Sustainability Bond,,2024,US Dollar,250000000,Fixed Coupon,6.0,,5.1,,
BEIJING ORIGINWATER TECHNOLOGY CO LTD,Non-Sovereign,Private Institution,Environmental Services & Equipment (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,3.3,,5.1,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2024,South Korean Won,34401145,Fixed Coupon,3.3,,5.1,,
TAIPEI CITY,Non-Sovereign,Government,Government & Government Finance (NEC),,,,,,Social Bond,,2024,Taiwanese Dollar,63961988,Fixed Coupon,1.2,,5.1,,
INTEA FASTIGHETER AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,27423306,Floating Coupon,3.8,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,38507945,Fixed Coupon,4.0,,5.1,,
ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Sustainability Bond,,2024,Argentinian Peso,759554,Floating Coupon,36.4,,5.1,,
KOREA SMES AND STARTUPS AGENCY,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2024,South Korean Won,27520916,Fixed Coupon,3.1,,5.1,,
VOLKSWAGEN INTERNATIONAL FINANCE NV,Non-Sovereign,Private Institution,Auto & Truck Manufacturers (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,516350000,Floating Coupon,3.4,,5.1,,
SHENERGY CO LTD,Non-Sovereign,Private Institution,Multiline Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.5,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Hong Kong Dollar,59045516,Fixed Coupon,4.0,,5.1,,
NANJING FINANCIAL CITY CONSTRUCTION DEVELOPMENT CO LTD,Non-Sovereign,Private Institution,Office Real Estate Rental & Development,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,164649708,Fixed Coupon,2.7,,5.1,,
STANDARD CHARTERED BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,1000000,Variable Coupon,4.3,,5.1,,
WOORI CARD CO LTD,Non-Sovereign,Private Institution,Consumer Credit Cards Services,,,,,,Social Bond,,2024,South Korean Won,20640687,Fixed Coupon,3.4,,5.1,,
HYUNDAI CAPITAL SERVICES INC,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,75682519,Fixed Coupon,3.6,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,309610304,Fixed Coupon,3.2,,5.1,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,3000000000,Fixed Coupon,4.8,,5.1,,
JEJU BANK,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,68802290,Fixed Coupon,3.7,,5.1,,
